VendorNumber,VendorName,Brand,Description,PurchasePrice,Volume,ActualPrice,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalFreight,GrossProfit,ProfitMargin,StockTurnOver,SalestoPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,1750.0,36.99,145080,3811251.6,142049.0,5101919.51,260999.19999999998,68601.68,961067.0299999998,18.837361665864456,0.9791080783016267,1.3386467348416462
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,1750.0,28.99,164038,3804041.22,160247.0,4819073.49,294438.66,144929.24,575664.3700000001,11.9455403864364,0.9768895012131336,1.2668299871892554
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,1750.0,24.99,187407,3418303.68,187140.0,4538120.6,343854.07,123780.22,652182.6299999994,14.371205339937406,0.9985752933454993,1.3275943347432488
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,1750.0,22.99,201682,3261197.94,200412.0,4475972.88,368242.8,257032.07,589500.0699999998,13.170322649497374,0.9937029581221923,1.3724934709114895
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,1750.0,29.99,138109,3023206.01,135838.0,4223107.62,249587.83,257032.07,693281.7100000003,16.416387465872827,0.9835564662693959,1.3968970708681545
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,750.0,23.99,138809,2466635.93,141860.0,3383912.4,111699.19,89286.27,716291.0099999998,21.167539975325596,1.0219798428055817,1.3718734730341822
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,1750.0,39.99,70783,2177285.08,69627.0,2773367.73,127931.67,123780.22,344370.75999999995,12.417060899457425,0.9836683949535906,1.2737733590678901
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,1750.0,17.99,161386,2088334.84,148265.0,2592041.35,272422.6,257032.07,-25748.159999999974,-0.9933545234531067,0.9186980283295949,1.2412000701956396
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,1750.0,27.99,91835,1903739.55,90481.0,2640491.19,166244.44,257032.07,313475.1299999999,11.87184911607298,0.9852561659498013,1.3870023291789046
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,1750.0,21.99,108866,1773427.14,107061.0,2435393.39,196707.35,123880.97,341377.9300000003,14.017362919754014,0.9834199842007606,1.3732694933269152
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,750.0,22.99,93205,1530426.1,91247.0,2148965.53,71840.56999999999,123780.22,422918.6399999997,19.680103477509004,0.9789925433184915,1.4041615795757794
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,1750.0,29.99,66942,1498161.96,61433.0,1840615.67,112875.19,257032.07,-27453.550000000047,-1.4915416861576567,0.917704878850348,1.2285825692704144
480,BACARDI USA INC,2663,Dewars White Label,21.42,1750.0,29.99,69001,1478001.42,70122.0,2189368.78,128839.08,89286.27,493242.00999999983,22.528959694035642,1.0162461413602701,1.4813035700601693
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,750.0,10.99,215668,1460072.3599999999,214238.0,2326007.78,24083.77,17587.59,824264.0599999999,35.43685739520613,0.9933694382105829,1.59307705818087
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,750.0,48.99,42951,1452173.31,41639.0,2009508.61,32783.09,68054.7,456497.51,22.716872559207395,0.9694535633629019,1.3837939288389758
3960,DIAGEO NORTH AMERICA INC,2753,Johnnie Walker Black Label,44.77,1750.0,59.99,31596,1414552.92,28372.0,1739044.28,52133.72,257032.07,15325.570000000094,0.8812639319339295,0.897961767312318,1.2293949949924816
17035,PERNOD RICARD USA,5364,Kahlua,23.07,1750.0,29.99,60645,1399080.15,59771.0,1844950.29,109817.06999999999,123780.22,212272.85000000015,11.50561351980926,0.9855882595432435,1.3186880608662772
3960,DIAGEO NORTH AMERICA INC,8082,Baileys Irish Cream,21.73,1750.0,33.99,64249,1396130.77,65184.0,2068091.16,119767.49,257032.07,295160.8299999999,14.272138274601003,1.0145527556849134,1.4813018983887876
3960,DIAGEO NORTH AMERICA INC,8680,Crown Royal,28.88,1750.0,39.99,47546,1373128.48,47966.0,1884307.34,88129.8,257032.07,166016.9900000001,8.810504872310274,1.0088335506667228,1.3722731466468456
3960,DIAGEO NORTH AMERICA INC,4260,Capt Morgan Original Barrel,16.66,1750.0,21.99,79078,1317439.48,79042.0,1635666.58,145234.95,257032.07,-84039.91999999993,-5.137961552041976,0.9995447532815701,1.2415496915273863
480,BACARDI USA INC,3348,Bombay Sapphire Gin,22.38,1750.0,29.99,57349,1283470.62,56888.0,1766391.1199999999,104524.54,89286.27,289109.68999999977,16.367252231204592,0.9919614988927444,1.3762614371336368
480,BACARDI USA INC,3857,Grey Goose Vodka,38.27,1750.0,49.99,33388,1277758.76,32945.0,1699669.55,60533.43,89286.27,272091.09,16.00846999935958,0.9867317599137415,1.3301959675079824
8664,"STOLI GROUP,(USA) LLC",8112,Stolichnaya,19.52,1750.0,24.99,61936,1208990.72,61323.0,1528730.27,112669.45,18544.49,188525.61000000004,12.332169624665053,0.9901026866442779,1.264468159027722
